Timestamp;Your X (Twitter) Handle;Your Wallet Address (Solana);Link to Your Meme Post (X link);IsValid?;Meme Category (optional);Upload Meme File (optional)
21/09/2025 15:28;@patienceEz42225;DpqXYZrTe2SRYTHDMos8ej18h6yr4YDcDXKFmA9AX6AJ;https://x.com/PatienceEz42225/status/1967639393092653281?t=XAU8T0BdPgyvVfYckano0A&s=19;No, but give for effort 1;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/ce3c8d9e-107e-4b84-a3f9-a3fa63c9ee55.jpg
21/09/2025 15:06;@FoxiMaxi2008;9rgxqRtik6K8oqxGzLN8yL232DYv4MiEc6wqgTdB3kMJ;https://x.com/FoxiMaxi2008/status/1966782406402130163;Valid and made vids 7;Sarcastic 😏;
21/09/2025 06:19;糖糖;6umnFg3dRF5xNhDz9kXkSPf6vpRBzkB5psU1TTzkMHRT;https://x.com/ivytangtang9/status/1968554801748496825?t=_IOfsKtc_dhewtDvB-1HgQ&s=19;No, but nice post 3;Culture & Trends 🌍;
21/09/2025 03:33;@the_working;9SeXCEZCpMWwRiH82d5dM8t9eGRuye1hvUdv3WJiN7NV;https://x.com/the_working?s=21;NO.;Funny 😂;
21/09/2025 02:43;@Baron3199;29PmvGkU1ETp3NT3pvFGiFUyBr7tS4iRsCuq3JVC1esD;https://x.com/Baron3199/status/1969577969070059714?t=InQREjGfW_iQvAok-AMjNw&s=19;3 for the hold;Sarcastic 😏;
21/09/2025 02:26;@Ningsl220963;FkdRL9CwhaM9e6MiEHejfZnq3fmQgxp1tQKwceqvfDdE;https://x.com/Ningsl220963/status/1969573509975396444?t=moE7J3IrpwBBBoG9-0aWOQ&s=19;Not  holding;Other;
21/09/2025 02:15;@zhi-an26190;CASqmSDbDeXsSvFbzpAEoUd1DcXiDuPEjahM181qTDfphttps://x.com/zhi_an26190/status/1969543277407060481?t=fq8hETcwB6WQCrwoGngFKw&s=19;https://x.com/zhi_an26190/status/1969543277407060481?t=fq8hETcwB6WQCrwoGngFKw&s=19;1;Funny 😂;
21/09/2025 01:45;@vetb9372xm96495;EDZbqFZEEkaM6buwwrFax6MzBvoaE92TfXUGXRb16xWv;https://x.com/vetb9372xm96495/status/1969204262220562643?s=19;0.5;Funny 😂;https://storage.googleapis.com/weavely/2103890c-4463-4874-bb25-b627ead8eaa5/64a552bf-d206-4a42-9dfa-3c8a5d392934.jpg
21/09/2025 01:38;@leonard_sh76377;DJJDsW1uKqPsoL5zXAGa8KHfsBAXzhfKhhsCuCxF36Dr;https://x.com/leonard_sh76377/status/1969540397069435154;JUST 1;Sarcastic 😏;
21/09/2025 01:30;@leonard_sh76377;DJJDsW1uKqPsoL5zXAGa8KHfsBAXzhfKhhsCuCxF36Dr;https://x.com/leonard_sh76377/status/1969543357023339006;No  but 1;Funny 😂;
